 Asset Description,Commision Year,More than 10years,Purchase Cost,Price more 10k, Asset Status, Expected Lifespan (Years), Asset Age (Year), Warranty Duration,Past Expected, Purchase Category,Purchase Status,Purchase Date
Fetal Heart Detector,2013,0,1900,0,Active,7,6,11,0,Additional,1,27/09/2013
4 Channel Cardio Respiratory Monitor,2013,0,38000,1,Active,7,5.11,11,0,Additional,1,03/10/2013
3 Channel Cardio Respiratory Monitor,2013,0,17000,1,Active,7,5.11,11,0,Additional,1,03/10/2013
3 Channel Cardio Respiratory Monitor,2013,0,17000,1,Active,7,5.11,11,0,Additional,1,03/10/2013
3 Channel Cardio Respiratory Monitor,2013,0,17000,1,Active,7,5.11,11,0,Additional,1,03/10/2013
3 Channel Cardio Respiratory Monitor,2013,0,17000,1,Active,7,5.11,11,0,Additional,1,03/10/2013
3 Channel Cardio Respiratory Monitor,2013,0,17000,1,Active,7,5.11,11,0,Additional,1,03/10/2013
4 Channel Cardio Respiratory Monitor,2013,0,38000,1,Active,7,5.11,11,0,Additional,1,03/10/2013
4 Channel Cardio Respiratory Monitor,2013,0,38000,1,Active,7,5.11,11,0,Additional,1,03/10/2013
4 Channel Cardio Respiratory Monitor,2013,0,38000,1,Active,7,5.11,11,0,Additional,1,03/10/2013
Water Bath,2013,0,5500,0,Active,10,6.1,11,0,Additional,1,23/08/2013
Water Bath,2013,0,5500,0,Active,10,6.1,11,0,Additional,1,23/08/2013
Centrifuges,2013,0,24750,1,Active,8,6.3,11,0,Additional,1,25/06/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
Syringe Pump,2013,0,2930,0,Active,10,6,23,0,Additional,1,18/09/2013
ECG,2013,0,11500,1,Active,7,6.5,11,0,Additional,1,23/04/2013
Breast Pump,2013,0,7000,0,Active,5,6.6,11,1,Additional,1,28/03/2013
Operating Microscope,2013,0,228980,1,Active,5,6.2,11,1,Additional,1,15/07/2013
Portable Turbine Driven Ventilator,2013,0,77800,1,Active,10,6,23,0,Additional,1,23/09/2013
Portable Turbine Driven Ventilator,2013,0,77800,1,Active,10,6,23,0,Additional,1,23/09/2013
Portable Turbine Driven Ventilator,2013,0,77800,1,Active,10,6,23,0,Additional,1,23/09/2013
Video Colonoscope,2013,0,112700,1,Active,3,6.3,11,1,Additional,1,18/06/2013
Megacode Kid Manikin With Vital Simulation,2011,0,34400,1,Active,10,7.9,12,0,Additional,1,20/12/2011
Volumetric Pump,2011,0,4800,0,Active,10,7.9,12,0,Additional,1,20/12/2011
Digital Bath With Timer,2011,0,15900,1,Active,10,7.9,12,0,Additional,1,21/12/2011
Photolight Irradiance Meter,2011,0,12000,1,Active,8,7.9,12,0,Additional,1,22/12/2011
Spot Vital Signs Monitor,2011,0,8900,0,Active,7,7.9,12,1,Additional,1,01/12/2011
Patient Monitor,2011,0,29500,1,Active,7,8,12,1,Additional,1,19/09/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Uroflow Machine,2013,0,27000,1,Active,8,6.7,11,0,Additional,1,22/02/2013
Pipette,2013,1,920,0,Active,5,10.8,0,1,Additional,1,01/01/2009
Cochlear Implant,2013,0,6000,0,Active,3,6.6,11,1,Additional,1,12/03/2013
Treadmill,2013,1,12550,1,Active,8,15.1,12,1,Additional,1,07/11/2003
Neuromuscular Stimulator,2013,0,2000,0,Active,10,6.7,11,0,Additional,1,19/02/2013
Vitalstim Therapy,2013,0,45000,1,Active,7,6.6,11,0,Additional,1,18/03/2013
Hot Pack,2013,0,8230,0,Active,10,6.6,11,0,Additional,1,18/03/2013
Treadmill,2013,0,10000,1,Active,8,6.6,11,0,Additional,1,18/03/2013
Light Curing Unit,2012,0,4899,0,Active,6,7.3,11,1,Additional,1,13/06/2012
Light Curing Unit,2012,0,4899,0,Active,6,7.3,11,1,Additional,1,13/06/2012
Medical Portable Vacuum,2012,0,5000,0,Active,10,7.3,11,0,Additional,1,13/06/2012
Medical Portable Vacuum,2012,0,5000,0,Active,10,7.3,11,0,Additional,1,13/06/2012
Medical Portable Vacuum,2012,0,5000,0,Active,10,7.3,11,0,Additional,1,13/06/2012
Medical Portable Vacuum,2012,0,5000,0,Active,10,7.3,11,0,Additional,1,13/06/2012
Defibrillator,2012,0,51900,1,Active,5,7.3,11,1,Additional,1,13/06/2012
Defibrillator,2012,0,51900,1,Active,5,7.3,11,1,Additional,1,13/06/2012
ECG Machine,2012,0,13500,1,Active,7,7.3,11,1,Additional,1,13/06/2012
Mobile Examination Light,2012,0,6332,0,Active,10,7.3,11,0,Additional,1,13/06/2012
Mobile Examination Light,2012,0,6500,0,Active,10,7.3,11,0,Additional,1,13/06/2012
Mobile Examination Light,2012,0,6500,0,Active,10,7.3,11,0,Additional,1,13/06/2012
Operating Table,2012,0,97700,1,Active,15,7.3,11,0,Additional,1,13/06/2012
Particle Counter,2012,1,24500,1,Active,8,10.1,11,1,Additional,1,12/11/2008
Particle Counter,2012,1,24500,1,Active,8,10.1,11,1,Additional,1,12/11/2008
NIBP Monitor,2012,0,13400,1,Active,7,7.3,11,1,Additional,1,19/06/2012
Digital Amalgamator,2012,0,1200,0,Active,6,7.2,11,1,Additional,1,10/07/2012
Headlight With Camera,2012,1,99980,1,Active,5,12.9,11,1,Additional,1,14/12/2006
Uv Light Box With Camera,2012,1,7900,0,Active,10,10.11,11,1,Additional,1,20/10/2008
Pipette,2012,1,920,0,Active,5,10.8,0,1,Additional,1,01/01/2009
Vital Sign Monitor,2012,0,24000,1,Active,7,6.11,11,0,Additional,1,23/10/2012
Ultrasound,2012,0,420000,1,Active,8,6.11,23,0,Additional,1,30/10/2012
Air Compressor With Dryer (12 Chairs),2012,0,63658,1,Active,12,6.11,23,0,Additional,1,31/10/2012
Air Compressor With Dryer (12 Chairs),2012,0,63658,1,Active,12,6.11,23,0,Additional,1,31/10/2012
Automated External Defibrillator,2012,0,8450,0,Active,5,6.1,11,1,Additional,1,06/11/2012
Camera Control Unit,2012,0,133444,1,Active,8,6.9,23,0,Additional,1,20/12/2012
Xenon Cold Light,2012,0,25045,1,Active,8,6.9,23,0,Additional,1,20/12/2012
Insufflator,2012,0,28949,1,Active,5,6.9,23,1,Additional,1,20/12/2012
Roller Pump For Irrigation Or Suction,2012,0,17654,1,Active,8,6.9,23,0,Additional,1,20/12/2012
Television Monitor,2012,0,11152,1,Active,0,6.9,23,1,Additional,1,20/12/2012
Television System,2012,0,67470,1,Active,10,6.9,23,0,Additional,1,20/12/2012
Aida Compact Neo Hd Documentation System,2012,0,66911,1,Active,8,6.9,23,0,Additional,1,20/12/2012
Infusion Pump,2012,0,3900,0,Active,10,6.9,11,0,Additional,1,21/12/2012
Infusion Pump,2012,0,3900,0,Active,10,6.9,11,0,Additional,1,21/12/2012
Ripple Mattress,2013,1,5800,0,Active,5,13.9,11,1,Additional,1,13/12/2005
Pulse Oximeter,2013,1,2500,0,Active,10,12.3,12,1,Additional,1,12/06/2007
Biopsy Set,2013,1,5000,0,Active,5,11.1,11,1,Additional,1,04/08/2008
Biopsy Set,2013,1,5000,0,Active,5,11.1,11,1,Additional,1,04/08/2008
Biopsy Set,2013,1,5000,0,Active,5,11.1,11,1,Additional,1,04/08/2008
Biopsy Set,2013,1,5000,0,Active,5,11.1,11,1,Additional,1,04/08/2008
Enteral Feeding Pump,2013,1,2333,0,Active,5,11,11,1,Additional,1,25/09/2008
Diathermy Unit,2013,0,24700,1,Active,7,8.3,12,1,Additional,1,06/06/2011
High Suction Pump,2013,0,5700,0,Active,10,7.9,12,0,Additional,1,27/12/2011
Ripple Mattress,2013,1,800,0,Active,5,13.9,11,1,Additional,1,20/12/2005
Electrocautery Unit,2013,0,14000,1,Active,7,6.7,23,0,Additional,1,27/02/2013
Suction Pump,2013,0,6500,0,Active,10,6.7,11,0,Additional,1,19/02/2013
Suction Pump,2013,0,6500,0,Active,10,6.7,11,0,Additional,1,19/02/2013
Suction Pump,2013,0,6500,0,Active,10,6.7,11,0,Additional,1,19/02/2013
Suction Pump,2013,0,6500,0,Active,10,6.7,12,0,Additional,1,19/02/2013
Radiofrequency Treatment System (Coblator Ii Surgery System),2013,0,49980,1,Active,8,6.6,11,0,Additional,1,06/03/2013
Blood Warmer,2013,0,4990,0,Active,7,6.6,11,0,Additional,1,07/03/2013
Blood Warmer,2013,0,4990,0,Active,7,6.6,11,0,Additional,1,07/03/2013
Blood Warmer,2013,0,4990,0,Active,7,6.6,11,0,Additional,1,07/03/2013
Blood Warmer,2013,0,4990,0,Active,7,6.6,11,0,Additional,1,07/03/2013
Blood Warmer,2013,0,4990,0,Active,7,6.6,11,0,Additional,1,07/03/2013
Blood Warmer,2013,0,4990,0,Active,7,6.6,11,0,Additional,1,07/03/2013
Bipolar Coagulator,2013,0,18000,1,Active,7,6.6,11,0,Additional,1,07/03/2013
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Portable Suction Machine,2011,0,2400,0,Active,10,7.9,12,0,Additional,1,22/12/2011
Portable Suction Machine,2011,0,2400,0,Active,10,7.9,12,0,Additional,1,22/12/2011
Portable Suction Machine,2011,0,2400,0,Active,10,7.9,12,0,Additional,1,22/12/2011
Respiratory Muscle Trainer,2011,0,14000,1,Active,10,7.9,12,0,Additional,1,22/12/2011
Weighing Scale,2011,0,3400,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Ripple Mattress,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,22/12/2011
Transport Incubator,2011,0,49950,1,Active,10,7.9,12,0,Additional,1,23/12/2011
High Suction Pump,2011,0,5700,0,Active,10,7.9,12,0,Additional,1,27/12/2011
High Suction Pump,2011,0,5700,0,Active,10,7.9,12,0,Additional,1,27/12/2011
High Suction Pump,2011,0,5700,0,Active,10,7.9,12,0,Additional,1,27/12/2011
High Suction Pump,2011,0,5700,0,Active,10,7.9,12,0,Additional,1,27/12/2011
High Suction Pump,2011,0,5700,0,Active,10,7.9,12,0,Additional,1,27/12/2011
High Suction Pump,2011,0,5700,0,Active,10,7.9,12,0,Additional,1,27/12/2011
Operating Surgical Light,2011,0,141500,1,Active,10,7.9,12,0,Additional,1,30/12/2011
Laryngoscope,2011,0,1503,0,Active,5,7.9,12,1,Additional,1,30/12/2011
Laryngoscope,2011,0,1503,0,Active,5,7.9,12,1,Additional,1,30/12/2011
Laryngoscope,2011,0,1503,0,Active,5,7.9,12,1,Additional,1,30/12/2011
Mobile C-Arm Unit,2011,0,347000,1,Active,7,7.9,12,1,Additional,1,30/12/2011
Brachytherapy Advanced Treatment Planning System,2012,1,300000,1,Active,5,15.5,11,1,Additional,1,02/04/2004
Lux Meter,2012,1,8450,0,Active,8,10.9,11,1,Additional,1,04/12/2008
Infusion Pump,2012,1,3900,0,Active,10,11.3,11,1,Additional,1,27/06/2008
Infusion Pump,2012,1,3900,0,Active,10,11.3,11,1,Additional,1,27/06/2008
Infusion Pump,2012,1,3900,0,Active,10,11.3,11,1,Additional,1,27/06/2008
Dosimeter,2012,1,39850,1,Active,8,14.4,11,1,Additional,1,16/05/2005
Hygiene Monitor,2012,0,15900,1,Active,8,9.11,11,1,Additional,1,07/10/2009
Particle Counter,2012,0,18600,1,Active,8,9.11,11,1,Additional,1,07/10/2009
Pipette,2012,1,450,0,Active,5,12.8,0,1,Additional,1,01/01/2007
NIBP Set With SpO2,2012,0,4800,0,Active,7,9.4,11,1,Additional,1,04/05/2010
Centrifuge,2012,1,6500,0,Active,8,14.1,11,1,Additional,1,13/11/2004
Feeding Pump,2012,0,3580,0,Active,5,6.1,11,1,Additional,1,29/11/2012
Feeding Pump,2012,0,3580,0,Active,5,6.1,11,1,Additional,1,29/11/2012
Feeding Pump,2012,0,3580,0,Active,5,6.1,11,1,Additional,1,29/11/2012
Feeding Pump,2012,0,3580,0,Active,5,6.1,11,1,Additional,1,29/11/2012
Feeding Pump,2012,0,3580,0,Active,5,6.1,11,1,Additional,1,29/11/2012
Feeding Pump,2012,0,3580,0,Active,5,6.1,11,1,Additional,1,29/11/2012
Feeding Pump,2012,0,3580,0,Active,5,6.1,11,1,Additional,1,29/11/2012
Feeding Pump,2012,0,3580,0,Active,5,6.1,11,1,Additional,1,29/11/2012
Feeding Pump,2012,0,3580,0,Active,5,6.1,11,1,Additional,1,29/11/2012
Suction Machine,2012,0,10000,1,Active,10,7.11,24,0,Additional,1,17/10/2011
Cpap,2012,0,4800,0,Active,10,6.9,11,0,Additional,1,04/12/2012
Cpap,2012,0,4800,0,Active,10,6.9,11,0,Additional,1,04/12/2012
Cpap,2012,0,4800,0,Active,10,6.9,11,0,Additional,1,04/12/2012
Cpap,2012,0,4800,0,Active,10,6.9,11,0,Additional,1,04/12/2012
Cpap,2012,0,4800,0,Active,10,6.9,11,0,Additional,1,04/12/2012
Cpap,2012,0,4800,0,Active,10,6.9,11,0,Additional,1,04/12/2012
Cpap,2012,0,4800,0,Active,10,6.9,11,0,Additional,1,04/12/2012
Retinoscope,2012,0,2280,0,Active,7,6.9,11,0,Additional,1,05/12/2012
Retinoscope,2012,0,2280,0,Active,7,6.9,11,0,Additional,1,05/12/2012
Retinoscope,2012,0,2280,0,Active,7,6.9,11,0,Additional,1,05/12/2012
Electrocardiographs,2012,0,10000,1,Active,7,6.9,11,0,Additional,1,06/12/2012
Ambulatory Long Term Blood Pressure Monitor,2012,0,8230,0,Active,10,6.9,11,0,Additional,1,06/12/2012
Ambulatory Long Term Blood Pressure Monitor,2012,0,8230,0,Active,10,6.9,11,0,Additional,1,06/12/2012
Physiologic Monitoring System,2012,0,29900,1,Active,7,6.9,11,0,Additional,1,12/12/2012
Oxygen Concentrator,2012,0,6450,0,Active,5,6.9,23,1,Additional,1,13/12/2012
Oxygen Concentrator,2012,0,6450,0,Active,5,6.9,23,1,Additional,1,13/12/2012
Oxygen Concentrator,2012,0,6450,0,Active,5,6.9,23,1,Additional,1,13/12/2012
Oxygen Concentrator,2012,0,6450,0,Active,5,6.9,23,1,Additional,1,13/12/2012
Electrocardiographs,2012,0,4200,0,Active,8,6.9,11,0,Additional,1,19/12/2012
Vital Sign Monitor,2012,0,17600,1,Active,7,6.9,11,0,Additional,1,20/12/2012
Vital Sign Monitor,2012,0,17600,1,Active,7,6.9,11,0,Additional,1,20/12/2012
Vital Sign Monitor,2012,0,17600,1,Active,7,6.9,11,0,Additional,1,20/12/2012
Vital Sign Monitor,2012,0,17600,1,Active,7,6.9,11,0,Additional,1,20/12/2012
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Infusion Pump Volumetric,2011,0,4000,0,Active,10,7.9,12,0,Additional,1,13/12/2011
Infusion Pump Volumetric,2011,0,4000,0,Active,10,7.9,12,0,Additional,1,13/12/2011
Infusion Pump Volumetric,2011,0,4000,0,Active,10,7.9,12,0,Additional,1,13/12/2011
Automatic External Defibrillator (Aed),2011,0,10000,1,Active,5,7.9,12,1,Additional,1,13/12/2011
Diagnostic Set (Auriscope & Ophthalmoscope),2011,0,2000,0,Active,5,7.9,12,1,Additional,1,13/12/2011
Diagnostic Set (Auriscope & Ophthalmoscope),2011,0,2000,0,Active,5,7.9,12,1,Additional,1,13/12/2011
Diagnostic Set (Auriscope & Ophthalmoscope),2011,0,2000,0,Active,5,7.9,12,1,Additional,1,13/12/2011
NIBP Monitor,2011,0,13400,1,Active,7,7.9,12,1,Additional,1,13/12/2011
Doppler,2011,0,5800,0,Active,5,7.9,12,1,Additional,1,13/12/2011
ECG Machine,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,02/12/2011
ECG Machine,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,02/12/2011
ECG Machine,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,02/12/2011
ECG Machine,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,02/12/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Infusion Pump,2011,0,4000,0,Active,10,7.1,12,0,Additional,1,21/11/2011
Patient Monitor,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,13/12/2011
Patient Monitor,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,13/12/2011
Patient Monitor,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,13/12/2011
Patient Monitor,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,13/12/2011
Patient Monitor,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,13/12/2011
Patient Monitor,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,13/12/2011
Patient Monitor,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,13/12/2011
Ga Machine With Ventilator,2011,0,194000,1,Active,7,7.9,12,1,Additional,1,14/12/2011
Vital Signs Monitor,2011,0,6850,0,Active,7,7.9,12,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
Vital Sign Monitor,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
Vital Sign Monitor,2011,0,6800,0,Active,7,7.9,17,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,24,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,24,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,24,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,24,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,24,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,24,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,24,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,24,1,Additional,1,14/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,7,7.9,24,1,Additional,1,14/12/2011
Tv Monitor,2011,0,3000,0,Active,0,9.3,11,1,Additional,1,21/06/2010
Video Camera System,2011,0,17000,1,Active,8,9.3,11,1,Additional,1,21/06/2010
ECG Machine,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,02/12/2011
ECG Machine,2011,0,18000,1,Active,7,7.9,17,1,Additional,1,02/12/2011
Automated Antibiotic Susceptibility Reader System,2011,0,164000,1,Active,8,7.9,24,0,Additional,1,05/12/2011
Intensive Care Ventilator,2011,0,96000,1,Active,10,7.11,24,0,Additional,1,15/10/2011
Centrifuge,2011,0,7800,0,Active,8,7.9,12,0,Additional,1,07/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,10,7.9,24,0,Additional,1,07/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,10,7.9,24,0,Additional,1,07/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,10,7.9,24,0,Additional,1,07/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,10,7.9,24,0,Additional,1,07/12/2011
Patient Monitor,2011,0,18000,1,Active,7,7.9,24,1,Additional,1,07/12/2011
Patient Monitor,2011,0,18000,1,Active,7,7.9,24,1,Additional,1,07/12/2011
NIBP Set With SpO2,2011,0,6800,0,Active,10,8,24,0,Additional,1,23/09/2011
Slide Stainer,2011,1,28000,1,Active,7,14.6,11,1,Replacement,0,22/03/2005
Nanoduct Patient Simulator,2011,0,8500,0,Active,8,7.9,12,0,Additional,1,08/12/2011
Digital Slit Lamp,2011,0,67000,1,Active,10,7.9,12,0,Additional,1,08/12/2011
Camera Control Unit,2011,0,70080,1,Active,8,7.9,24,0,Additional,1,08/12/2011
Video Cysto-Urethroscope,2011,0,51670,1,Active,3,7.9,24,1,Additional,1,08/12/2011
Ce / Internal Set (Xenon Cold Light),2011,0,24911,1,Active,8,7.1,24,0,Additional,1,30/11/2011
Light Source,2011,0,13762,1,Active,8,7.9,24,0,Additional,1,08/12/2011
Dvd Recorder (A),2011,0,1500,0,Active,5,7.9,24,1,Additional,1,08/12/2011
Tv Monitor,2011,0,15488,1,Active,0,7.9,24,1,Additional,1,08/12/2011
Cardiotocograph,2011,0,19950,1,Active,10,7.9,12,0,Additional,1,09/12/2011
Infant Warmer,2011,0,32000,1,Active,8,7.9,12,0,Additional,1,09/12/2011
Infant Warmer,2011,0,40000,1,Active,8,7.9,12,0,Additional,1,09/12/2011
Cardiotocograph,2011,0,19950,1,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Syringe Pump,2011,0,3000,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Chest Tube Manikin (Pneumothorax Trainer),2011,0,5800,0,Active,10,7.9,12,0,Additional,1,09/12/2011
Pulse Oximeter,2011,0,2500,0,Active,10,7.1,24,0,Additional,1,29/11/2011
Pulse Oximeter,2011,0,2500,0,Active,10,7.1,24,0,Additional,1,29/11/2011
Pulse Oximeter,2011,0,2500,0,Active,10,7.1,24,0,Additional,1,29/11/2011
Pulse Oximeter,2011,0,2500,0,Active,10,7.1,24,0,Additional,1,29/11/2011
